year,month,fuel,energy_gw
2021,May,HYDRO,2895.22
2021,May,WIND,735.62
2021,May,SOLAR,92.56
2021,May,BIOFUEL,28.09
2021,June,NUCLEAR,7433.17
2021,June,GAS,1194.93
2021,June,HYDRO,2466.74
2021,June,WIND,849.66
2021,June,SOLAR,91.25
2021,June,BIOFUEL,28.75
2021,July,NUCLEAR,7739.39
2021,July,GAS,1028.37
2021,July,HYDRO,2881.41
2021,July,WIND,600.19
2021,July,SOLAR,84.71
2021,July,BIOFUEL,35.04
2021,August,NUCLEAR,7589.05
2021,August,GAS,2332.25
2021,August,HYDRO,2701.52
2021,August,WIND,521.32
2021,August,SOLAR,85.98
2021,August,BIOFUEL,37.54
2021,September,NUCLEAR,7164.0
2021,September,GAS,576.79
2021,September,HYDRO,2362.58
2021,September,WIND,912.22
2021,September,SOLAR,72.79
2021,September,BIOFUEL,32.69
2021,October,NUCLEAR,6511.06
2021,October,GAS,1005.28
2021,October,HYDRO,2826.91
2021,October,WIND,981.87
2021,October,SOLAR,48.99
2021,October,BIOFUEL,20.26
2021,November,NUCLEAR,6284.05
2021,November,GAS,1275.77
2021,November,HYDRO,2695.84
2021,November,WIND,1322.68
2021,November,SOLAR,37.66
2021,November,BIOFUEL,48.14
2021,December,NUCLEAR,6917.48
2021,December,GAS,1413.91
2021,December,HYDRO,2990.01
2021,December,WIND,1524.54
2021,December,SOLAR,18.23
2021,December,BIOFUEL,41.2
2022,January,NUCLEAR,7635.13
2022,January,GAS,2272.09
2022,January,HYDRO,3078.23
2022,January,WIND,1445.87
2022,January,SOLAR,25.21
2022,January,BIOFUEL,32.57
2022,February,NUCLEAR,6562.85
2022,February,GAS,1554.06
2022,February,HYDRO,2748.52
2022,February,WIND,1510.33
2022,February,SOLAR,40.05
2022,February,BIOFUEL,30.26
2022,March,NUCLEAR,6555.91
2022,March,GAS,1223.27
2022,March,HYDRO,3097.82
2022,March,WIND,1425.25
2022,March,SOLAR,59.97
2022,March,BIOFUEL,29.39
2022,April,NUCLEAR,6550.6
2022,April,GAS,373.34
2022,April,HYDRO,3215.94
2022,April,WIND,1123.87
2022,April,SOLAR,75.85
2022,April,BIOFUEL,14.09
2022,May,NUCLEAR,5878.63
2022,May,GAS,682.41
2022,May,HYDRO,3834.94
2022,May,WIND,951.65
2022,May,SOLAR,87.69
2022,May,BIOFUEL,17.3
2022,June,NUCLEAR,6859.24
2022,June,GAS,798.84
2022,June,HYDRO,3346.89
2022,June,WIND,823.0
2022,June,SOLAR,90.94
2022,June,BIOFUEL,13.09
2022,July,NUCLEAR,7400.09
2022,July,GAS,1631.71
2022,July,HYDRO,3024.81
2022,July,WIND,729.4
2022,July,SOLAR,95.92
2022,July,BIOFUEL,45.27
2022,August,NUCLEAR,7663.58
2022,August,GAS,1733.77
2022,August,HYDRO,2982.74
2022,August,WIND,633.89
2022,August,SOLAR,85.6
2022,August,BIOFUEL,36.66
2022,September,NUCLEAR,6669.0
2022,September,GAS,1138.35
2022,September,HYDRO,2787.94
2022,September,WIND,739.61
2022,September,SOLAR,69.67
2022,September,BIOFUEL,36.8
2022,October,NUCLEAR,5005.64
2022,October,GAS,1091.17
2022,October,HYDRO,3114.72
2022,October,WIND,1326.36
2022,October,SOLAR,62.4
2022,October,BIOFUEL,11.35
2022,November,NUCLEAR,5678.36
2022,November,GAS,913.6
2022,November,HYDRO,3306.99
2022,November,WIND,1505.64
2022,November,SOLAR,36.23
2022,November,BIOFUEL,17.0
2022,December,NUCLEAR,6299.05
2022,December,GAS,1796.78
2022,December,HYDRO,3497.78
2022,December,WIND,1566.27
